,Favorite-BatAge,Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-2B,Favorite-3B,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,BatAge,R/G,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,CG_Starting,CG_Opposing,IP_Starting,IP_Opposing,ERA+_Starting ,ERA+_Opposing,FIP_Starting,FIP_Opposing
80,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,3.74,3.39,1.31,1.14,153.0,220.0,0.0,1.0,204.2,191.1
81,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,3.86,3.75,1.17,1.13,142.0,159.0,0.0,1.0,128.1,156.0
82,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,2.52,5.57,0.9,1.33,290.0,102.0,1.0,0.0,214.0,85.2
83,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,3.13,3.65,1.16,1.31,201.0,140.0,0.0,0.0,167.0,153.0
84,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,3.74,3.39,1.31,1.14,153.0,220.0,0.0,1.0,204.2,191.1
85,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,3.74,3.59,1.31,1.08,153.0,108.0,0.0,1.0,204.2,160.2
86,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,3.86,4.05,1.17,1.12,142.0,72.0,0.0,1.0,128.1,115.2
87,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.88,3.76,1.03,1.19,276.0,100.0,1.0,0.0,200.1,110.0
88,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,3.74,4.48,1.31,1.28,153.0,47.0,0.0,0.0,204.2,80.1
89,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,3.86,3.59,1.17,1.08,142.0,108.0,0.0,1.0,128.1,160.2
90,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.88,4.05,1.03,1.12,276.0,72.0,1.0,1.0,200.1,115.2
