Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,R/G,PA,AB,H,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,WHIP_Starting,WHIP_Opposing,IP_Starting,IP_Opposing,K_Starting ,K_Opposing,HR_Starting,HR_Opposing
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,3.98,4.66,1.34,1.66,167.1,9.2,140.0,10.0,23.0,2.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.58,5.46,0.8,1.52,223.0,161.2,300.0,116.0,36.0,36.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.5,3.99,0.89,1.31,212.1,203.0,326.0,147.0,29.0,23.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,3.98,5.46,1.34,1.52,167.1,161.2,140.0,116.0,23.0,36.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,5.445,3.99,1.46,1.31,65.2,203.0,57.5,147.0,10.0,23.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.58,2.35,0.8,1.04,223.0,23.0,300.0,27.0,36.0,1.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,3.98,3.99,1.34,1.31,167.1,203.0,140.0,147.0,23.0,23.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,5.86,6.0,1.67,1.67,70.2,21.0,68.0,11.0,9.0,2.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.58,5.46,0.8,1.52,223.0,161.2,300.0,116.0,36.0,36.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.5,6.4,0.89,1.53,212.1,71.2,326.0,57.0,29.0,17.0
